Index,Name,Emergency,HI50kHz,Accept
0,L1_AlwaysTrue,0,0,0
1,L1_BPTX_AND_Ref1_VME,0,0,0
2,L1_BPTX_AND_Ref3_VME,0,0,0
3,L1_BPTX_AND_Ref4_VME,0,0,0
4,L1_BPTX_BeamGas_B1_VME,0,0,0
5,L1_BPTX_BeamGas_B2_VME,0,0,0
6,L1_BPTX_BeamGas_Ref1_VME,0,0,0
7,L1_BPTX_BeamGas_Ref2_VME,0,0,0
8,L1_BPTX_NotOR_VME,0,0,0
9,L1_BPTX_OR_Ref3_VME,0,0,0
10,L1_BPTX_OR_Ref4_VME,0,0,0
11,L1_BPTX_RefAND_VME,0,0,0
12,L1_BptxMinus,0,0,0
13,L1_BptxMinus_NotBptxPlus,0,0,0
14,L1_BptxOR,0,0,0
15,L1_BptxPlus,0,0,0
16,L1_BptxPlus_NotBptxMinus,0,0,0
17,L1_BptxXOR,0,0,0
18,L1_NotBptxOR,0,0,0
19,L1_ZeroBias,17881,3061,2797
20,L1_ZeroBias_copy,0,0,0
21,L1_TripleMu_5_5_3,0,0,0
22,L1_FirstCollisionInOrbit_Centrality50_100_BptxAND,0,0,0
23,L1_FirstBunchAfterTrain,0,0,0
24,L1_FirstBunchBeforeTrain,0,0,0
25,L1_FirstBunchInTrain,0,0,0
26,L1_IsolatedBunch,0,0,0
27,L1_LastBunchInTrain,0,0,0
28,L1_SecondBunchInTrain,0,0,0
29,L1_SecondLastBunchInTrain,0,0,0
30,L1_UnpairedBunchBptxMinus,0,0,0
31,L1_UnpairedBunchBptxPlus,0,0,0
32,L1_FirstCollisionInTrain,0,0,0
33,L1_LastCollisionInTrain,0,0,0
34,L1_FirstCollisionInOrbit,0,0,0
35,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,0,0
36,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,0,0,0
37,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND,0,0,0
40,L1_ETMHF100,0,0,0
41,L1_ETT2000,0,0,0
42,L1_HTT120er,0,0,0
43,L1_HTT200er,0,0,0
44,L1_HTT280er,0,0,0
45,L1_HTT360er,0,0,0
49,L1_SingleEG3,0,0,0
50,L1_SingleEG5,0,0,0
51,L1_SingleEG8er2p5,0,0,0
52,L1_SingleEG10er2p5,0,0,0
53,L1_SingleEG15er2p5,0,0,0
54,L1_SingleEG26er2p5,0,0,0
55,L1_SingleEG50,0,0,0
59,L1_SingleJet35,0,0,0
60,L1_SingleJet35_FWD3p0,0,0,0
61,L1_SingleJet35er2p5,0,0,0
62,L1_SingleJet60,0,0,0
63,L1_SingleJet90,0,0,0
64,L1_SingleJet120,0,0,0
65,L1_SingleJet120_FWD3p0,0,0,0
66,L1_SingleJet120er2p5,0,0,0
67,L1_SingleJet200,0,0,0
71,L1_SingleMu0_BMTF,0,0,0
72,L1_SingleMu0_DQ,0,0,0
73,L1_SingleMu0_EMTF,0,0,0
74,L1_SingleMu0_OMTF,0,0,0
75,L1_SingleMu22,0,0,0
76,L1_SingleMu22_BMTF,0,0,0
77,L1_SingleMu22_EMTF,0,0,0
78,L1_SingleMu22_OMTF,0,0,0
79,L1_SingleMuCosmics,0,0,0
80,L1_SingleMuCosmics_BMTF,0,0,0
81,L1_SingleMuCosmics_EMTF,0,0,0
82,L1_SingleMuCosmics_OMTF,0,0,0
83,L1_DoubleMu0_SQ,0,0,0
84,L1_DoubleMu0_SQ_OS,0,0,0
88,L1_SingleJet8_ZDC1n_XOR_BptxAND,0,0,0
89,L1_SingleJet8_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
90,L1_SingleJet8_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
91,L1_SingleJet8_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
92,L1_SingleJet12_ZDC1n_XOR_BptxAND,0,0,0
93,L1_SingleJet12_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
94,L1_SingleJet12_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
95,L1_SingleJet12_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
96,L1_SingleJet16_ZDC1n_XOR_BptxAND,0,0,0
97,L1_SingleJet16_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
98,L1_SingleJet16_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
99,L1_SingleJet16_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
100,L1_SingleJet24_ZDC1n_XOR_BptxAND,0,0,0
101,L1_SingleJet24_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
102,L1_SingleJet24_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
103,L1_SingleJet24_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
104,L1_SingleJet8_BptxAND,0,0,1
105,L1_SingleJet16_BptxAND,0,0,1
106,L1_SingleJet24_BptxAND,0,0,1
107,L1_SingleJet28_BptxAND,0,11,1
108,L1_SingleJet32_BptxAND,0,0,1
109,L1_SingleJet36_BptxAND,0,0,1
110,L1_SingleJet40_BptxAND,0,0,1
111,L1_SingleJet44_BptxAND,0,7,1
112,L1_SingleJet48_BptxAND,0,0,1
113,L1_SingleJet56_BptxAND,0,5,1
114,L1_SingleJet60_BptxAND,0,3.5,1
115,L1_SingleJet64_BptxAND,0,0,1
116,L1_SingleJet72_BptxAND,0,0,1
117,L1_SingleJet80_BptxAND,0,0,1
120,L1_SingleJet20_ZDC1n_XOR_BptxAND,0,0,0
121,L1_SingleJet20_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
122,L1_SingleJet20_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
123,L1_SingleJet20_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
124,L1_SingleJet28_ZDC1n_XOR_BptxAND,0,0,0
125,L1_SingleJet28_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
126,L1_SingleJet28_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
127,L1_SingleJet28_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
128,L1_SingleJet8_FWD_BptxAND,0,0,1
129,L1_SingleJet16_FWD_BptxAND,0,0,1
130,L1_SingleJet28_FWD_BptxAND,0,0,1
131,L1_SingleJet36_FWD_BptxAND,0,0,1
132,L1_SingleJet44_FWD_BptxAND,0,0,1
133,L1_SingleJet56_FWD_BptxAND,0,0,1
134,L1_SingleJet64_FWD_BptxAND,0,0,1
144,L1_SingleJet8_Centrality_30_100_BptxAND,0,0,1
145,L1_SingleJet16_Centrality_30_100_BptxAND,0,0,1
146,L1_SingleJet24_Centrality_30_100_BptxAND,0,0,1
147,L1_SingleJet28_Centrality_30_100_BptxAND,0,0,1
148,L1_SingleJet32_Centrality_30_100_BptxAND,0,0,1
149,L1_SingleJet36_Centrality_30_100_BptxAND,0,0,1
150,L1_SingleJet40_Centrality_30_100_BptxAND,0,0,1
151,L1_SingleJet44_Centrality_30_100_BptxAND,0,0,1
152,L1_SingleJet48_Centrality_30_100_BptxAND,0,0,1
153,L1_SingleJet56_Centrality_30_100_BptxAND,0,0,1
154,L1_SingleJet60_Centrality_30_100_BptxAND,0,0,1
155,L1_SingleJet64_Centrality_30_100_BptxAND,0,0,1
168,L1_SingleJet8_Centrality_50_100_BptxAND,0,0,1
169,L1_SingleJet16_Centrality_50_100_BptxAND,0,0,1
170,L1_SingleJet24_Centrality_50_100_BptxAND,0,0,1
171,L1_SingleJet28_Centrality_50_100_BptxAND,0,0,1
172,L1_SingleJet32_Centrality_50_100_BptxAND,0,0,1
173,L1_SingleJet36_Centrality_50_100_BptxAND,0,0,1
174,L1_SingleJet40_Centrality_50_100_BptxAND,0,0,1
175,L1_SingleJet44_Centrality_50_100_BptxAND,0,0,1
176,L1_SingleJet48_Centrality_50_100_BptxAND,0,0,1
177,L1_SingleJet56_Centrality_50_100_BptxAND,0,0,1
178,L1_SingleJet60_Centrality_50_100_BptxAND,0,0,1
179,L1_SingleJet64_Centrality_50_100_BptxAND,0,0,1
184,L1_ZDC1n_OR_BptxAND,0,0,0
185,L1_ZDC1n_Bkp1_OR_BptxAND,0,0,0
186,L1_ZDC1n_Bkp2_OR_BptxAND,0,0,0
187,L1_ZDC1n_Bkp3_OR_BptxAND,0,0,0
188,L1_ZDC1n_XOR_MinimumBiasHF1_AND_BptxAND,0,0,0
189,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF1_AND_BptxAND,0,0,0
190,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF1_AND_BptxAND,0,0,0
191,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF1_AND_BptxAND,0,0,0
192,L1_ZDC1n_XOR_MinimumBiasHF2_AND_BptxAND,0,0,0
193,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF2_AND_BptxAND,0,0,0
194,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF2_AND_BptxAND,0,0,0
195,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF2_AND_BptxAND,0,0,0
196,L1_SingleEG2_ZDC1n_OR_NotMinimumBiasHF2_AND_BptxAND,0,0,0
197,L1_SingleEG2_ZDC1n_Bkp1_OR_NotMinimumBiasHF2_AND_BptxAND,0,0,0
198,L1_SingleEG2_ZDC1n_Bkp2_OR_NotMinimumBiasHF2_AND_BptxAND,0,0,0
199,L1_SingleEG2_ZDC1n_Bkp3_OR_NotMinimumBiasHF2_AND_BptxAND,0,0,0
200,L1_ZDC1n_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
201,L1_ZDC1n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
202,L1_ZDC1n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
203,L1_ZDC1n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
204,L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
205,L1_ZDC2n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
206,L1_ZDC2n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
207,L1_ZDC2n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
208,L1_ZDC3n_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
209,L1_ZDC3n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
210,L1_ZDC3n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
211,L1_ZDC3n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0,0,0
212,L1_ZDC1n_AND_MinimumBiasHF1_AND_BptxAND,0,0,0
213,L1_ZDC1n_Bkp1_AND_MinimumBiasHF1_AND_BptxAND,0,0,0
214,L1_ZDC1n_Bkp2_AND_MinimumBiasHF1_AND_BptxAND,0,0,0
215,L1_ZDC1n_Bkp3_AND_MinimumBiasHF1_AND_BptxAND,0,0,0
223,L1_SingleEG3_BptxAND,0,3607,1
224,L1_SingleEG4_BptxAND,0,0,0
225,L1_SingleEG5_BptxAND,0,2621,1
226,L1_SingleEG7_BptxAND,0,41,1
227,L1_SingleEG12_BptxAND,0,0,1
228,L1_SingleEG15_BptxAND,0,2,1
229,L1_SingleEG21_BptxAND,0,1,1
230,L1_SingleEG30_BptxAND,0,1,1
235,L1_DoubleEG2_BptxAND,0,0,0
236,L1_DoubleEG5_BptxAND,0,7,0
237,L1_DoubleEG8_BptxAND,0,0,1
238,L1_DoubleEG10_BptxAND,0,0,1
243,L1_SingleIsoEG12_BptxAND,0,0,1
244,L1_SingleIsoEG15_BptxAND,0,0,1
245,L1_SingleIsoEG21_BptxAND,0,0,1
248,L1_SingleEG3_Centrality_30_100_BptxAND,0,0,1
249,L1_SingleEG7_Centrality_30_100_BptxAND,0,0,1
250,L1_SingleEG15_Centrality_30_100_BptxAND,0,0,1
251,L1_SingleEG21_Centrality_30_100_BptxAND,0,0,1
272,L1_SingleMuOpen_BptxAND,0,11,1
273,L1_SingleMu0_BptxAND,0,11,1
274,L1_SingleMu3_BptxAND,0,0,1
275,L1_SingleMu5_BptxAND,0,0,1
276,L1_SingleMu7_BptxAND,0,0,1
277,L1_DoubleMuOpen_BptxAND,0,1,1
278,L1_DoubleMuOpen_OS_BptxAND,0,0,1
279,L1_DoubleMuOpen_SS_BptxAND,0,0,1
280,L1_DoubleMu0_BptxAND,0,1,1
281,L1_DoubleMu10_BptxAND,0,0,1
282,L1_DoubleMuOpen_MaxDr3p5_BptxAND,0,1,1
283,L1_DoubleMuSQ_BptxAND,0,1,1
284,L1_DoubleMu0_MaxDr3p5_BptxAND,0,0,1
285,L1_DoubleMuSQ_MaxDr3p5_BptxAND,0,0,1
286,L1_DoubleMuOpen_MaxDr3p5M0to7_BptxAND,0,1,1
287,L1_DoubleMu0_MaxDr3p5M0to7_BptxAND,0,0,1
288,L1_DoubleMuSQ_MaxDr3p5M0to7_BptxAND,0,0,1
292,L1_SingleMu3Open_BptxAND,0,0,0
293,L1_DoubleMuOpen_Centrality_30_100_BptxAND,0,0,0
294,L1_DoubleMuOpen_Centrality_40_100_BptxAND,0,0,0
295,L1_DoubleMuOpen_Centrality_50_100_BptxAND,0,0,0
305,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,0,3,1
306,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,0,3,1
307,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,0,0,1
308,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,0,3,1
309,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,0,0,1
310,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,0,1,1
311,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,0,1,1
320,L1_SingleMuOpen_SingleEG15_BptxAND,0,0,1
321,L1_SingleMu3_SingleEG12_BptxAND,0,1,1
322,L1_SingleMu3_SingleEG20_BptxAND,0,0,1
323,L1_SingleMu3_SingleEG30_BptxAND,0,0,1
324,L1_SingleMu5_SingleEG10_BptxAND,0,0,1
325,L1_SingleMu5_SingleEG12_BptxAND,0,0,1
326,L1_SingleMu5_SingleEG15_BptxAND,0,1,1
327,L1_SingleMu5_SingleEG20_BptxAND,0,0,1
328,L1_SingleMu7_SingleEG7_BptxAND,0,0,1
329,L1_SingleMu7_SingleEG10_BptxAND,0,0,1
330,L1_SingleMu7_SingleEG12_BptxAND,0,0,1
331,L1_SingleMu7_SingleEG15_BptxAND,0,0,1
332,L1_SingleMu12_SingleEG7_BptxAND,0,0,1
336,L1_DoubleEG_22_10_er2p5,0,0,0
337,L1_DoubleEG_25_12_er2p5,0,0,0
338,L1_DoubleEG_25_14_er2p5,0,0,0
339,L1_DoubleJet40er2p5,0,0,0
340,L1_DoubleJet100er2p5,0,0,0
341,L1_DoubleJet120er2p5,0,0,0
342,L1_DoubleMu_12_5,0,0,0
343,L1_DoubleMu0,0,0,0
344,L1_DoubleMu_15_7,0,0,0
345,L1_HCAL_LaserMon_Trig,0,0,0
346,L1_HCAL_LaserMon_Veto,0,0,0
347,L1_HTT160er,0,0,0
348,L1_HTT255er,0,0,0
349,L1_HTT320er,0,0,0
350,L1_HTT400er,0,0,0
351,L1_HTT450er,0,0,0
352,L1_SingleMuCosmic_BptxAND,0,1249,1
353,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND,0,2,1
354,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND,0,0,1
355,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND,0,2,1
356,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND,0,1193,1
357,L1_DoubleMuCosmic_BptxAND,0,643,1
358,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND,0,0,1
359,L1_SingleEG4_NotMinimumBiasHF2_OR_BptxAND,0,0,0
360,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,2,1
361,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,2,1
362,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND,0,2,1
363,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND,0,2,1
364,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND,0,2,1
365,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND,0,0,1
368,L1_QuadJet60er2p5,0,0,0
369,L1_SingleEG34er2p5,0,0,0
370,L1_SingleEG36er2p5,0,0,0
371,L1_SingleEG38er2p5,0,0,0
372,L1_SingleEG40er2p5,0,0,0
373,L1_SingleEG42er2p5,0,0,0
374,L1_SingleEG45er2p5,0,0,0
375,L1_SingleEG60,0,0,0
376,L1_SingleIsoEG24er2p1,0,0,0
377,L1_SingleIsoEG26er2p1,0,0,0
378,L1_SingleIsoEG26er2p5,0,0,0
379,L1_SingleIsoEG28er2p1,0,0,0
380,L1_SingleIsoEG28er2p5,0,0,0
381,L1_SingleIsoEG30er2p1,0,0,0
382,L1_SingleIsoEG30er2p5,0,0,0
383,L1_SingleIsoEG32er2p1,0,0,0
384,L1_SingleIsoEG32er2p5,0,0,0
385,L1_SingleIsoEG34er2p5,0,0,0
386,L1_SingleJet8erHE,0,0,0
387,L1_SingleJet10erHE,0,0,0
388,L1_SingleJet12erHE,0,0,0
389,L1_SingleJet140er2p5,0,0,0
390,L1_SingleJet160er2p5,0,0,0
392,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND,0,0,1
393,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,0,1,1
394,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,0,0,1
395,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
396,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,0,0,1
397,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,0,0,1
398,L1_SingleEG4_NotMinimumBiasHF2_AND_BptxAND,0,0,0
399,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,0,1,1
400,L1_SingleJet180,0,0,0
406,L1_Centrality_30_50_BptxAND,0,3,1
407,L1_Centrality_Saturation_BptxAND,0,0,0
408,L1_Centrality_0_0p5_BptxAND,0,1,1
409,L1_Centrality_0_1_BptxAND,0,1,1
410,L1_Centrality_30_40_BptxAND,0,0,0
411,L1_Centrality_40_50_BptxAND,0,0,0
412,L1_Centrality_50_65_BptxAND,0,0,0
413,L1_Centrality_65_80_BptxAND,0,0,0
414,L1_Centrality_80_100_BptxAND,0,0,0
416,L1_SingleMuOpen,0,0,0
417,L1_SingleMuOpen_NotBptxOR,0,0,0
418,L1_SingleMuOpen_er1p4_NotBptxOR_3BX,0,0,0
419,L1_SingleMuOpen_er1p1_NotBptxOR_3BX,0,0,0
420,L1_SingleMu3,0,0,0
421,L1_SingleMu5,0,0,0
422,L1_SingleMu7,0,0,0
423,L1_SingleMu18,0,0,0
424,L1_SingleMu20,0,0,0
425,L1_SingleMu25,0,0,0
432,L1_SingleMuShower_Tight,0,1,1
433,L1_SingleMuShower_Nominal,0,1,1
434,L1_SingleMuShower_Tight_BptxAND,0,0,1
435,L1_SingleMuShower_Nominal_BptxAND,0,0,1
436,L1_TripleMu_5_3_3,0,0,0
437,L1_TripleEG_18_17_8_er2p5,0,0,0
456,L1_MinimumBiasHF1_AND_BptxAND,0,3.61,1
457,L1_MinimumBiasHF1_OR_BptxAND,0,0,0
458,L1_MinimumBiasHF2_AND_BptxAND,0,0,1
459,L1_MinimumBiasHF2_OR_BptxAND,0,0,0
464,L1_ZDC1n_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
465,L1_ZDC1n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
466,L1_ZDC1n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
467,L1_ZDC1n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
468,L1_ZDC2n_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
469,L1_ZDC2n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
470,L1_ZDC2n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
471,L1_ZDC2n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
472,L1_ZDC3n_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
473,L1_ZDC3n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
474,L1_ZDC3n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
475,L1_ZDC3n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0,0,0
476,L1_ZDC1n_AND_MinimumBiasHF2_AND_BptxAND,0,0,0
477,L1_ZDC1n_Bkp1_AND_MinimumBiasHF2_AND_BptxAND,0,0,0
478,L1_ZDC1n_Bkp2_AND_MinimumBiasHF2_AND_BptxAND,0,0,0
479,L1_ZDC1n_Bkp3_AND_MinimumBiasHF2_AND_BptxAND,0,0,0
489,L1_SingleJet8_NotMinimumBiasHF2_AND_BptxAND,0,1789,1
490,L1_SingleJet12_NotMinimumBiasHF2_AND_BptxAND,0,607,1
491,L1_SingleJet16_NotMinimumBiasHF2_AND_BptxAND,0,29,1
492,L1_SingleJet20_NotMinimumBiasHF2_AND_BptxAND,0,11,0
493,L1_SingleJet24_NotMinimumBiasHF2_AND_BptxAND,0,2.1,1
494,L1_SingleJet28_NotMinimumBiasHF2_AND_BptxAND,0,2,0
495,L1_NotMinimumBiasHF2_AND_BptxAND,0,0,0
500,L1_ZDCP1,0,0,0
501,L1_ZDCP256,0,0,0
502,L1_ZDCP512,0,0,0
503,L1_ZDCM1,0,0,0
504,L1_ZDCM256,0,0,0
505,L1_ZDCM512,0,0,0
506,L1_ZDC1_AND,0,0,0
507,L1_ZDC256_AND,0,0,0
508,L1_ZDC512_AND,0,0,0
509,L1_ZDC1_OR,0,0,0
510,L1_ZDC256_OR,0,0,0
511,L1_ZDC512_OR,0,0,0